0,subject,subject,67.87473105426727,32.12526894573273
1,subject,subject.Business_Studies,62.632821723730814,37.367178276269186
2,subject,subject.Business_Studies.Companies,59.05797101449275,40.94202898550724
3,subject.Everyday_life,subject,70.0098814229249,29.990118577075098
4,subject.Everyday_life,subject.Business_Studies,61.71428571428571,38.285714285714285
5,subject.Everyday_life,subject.Business_Studies.Companies,61.33333333333333,38.666666666666664
6,subject.Everyday_life.Films,subject,67.27272727272727,32.72727272727273
7,subject.Everyday_life.Films,subject.Business_Studies,61.53846153846154,38.46153846153847
8,subject.Everyday_life.Films,subject.Business_Studies.Companies,63.63636363636363,36.36363636363637
9,subject,subject.IT,66.88339835283918,33.11660164716081
10,subject,subject.IT.Software,74.35897435897436,25.64102564102564
11,subject.Everyday_life,subject.IT,60.78431372549019,39.21568627450981
12,subject.Everyday_life,subject.IT.Software,73.07692307692307,26.923076923076923
13,subject.Everyday_life.Films,subject.IT,64.70588235294117,35.294117647058826
14,subject.Everyday_life.Films,subject.IT.Software,60.0,40.0
15,subject,subject.Geography,79.45545835705782,20.544541642942182
16,subject,subject.Geography.Central_and_South_American_Geography,83.04853041695146,16.95146958304853
17,subject.People,subject,70.12363339123327,29.87636660876673
18,subject.People,subject.Geography,79.51582867783985,20.48417132216015
19,subject.People,subject.Geography.Central_and_South_American_Geography,83.24324324324324,16.756756756756758
20,subject.People.Historical_figures,subject,70.11986301369863,29.88013698630137
21,subject.People.Historical_figures,subject.Geography,80.46875,19.53125
22,subject.People.Historical_figures,subject.Geography.Central_and_South_American_Geography,84.61538461538461,15.384615384615385
23,subject,subject.History,66.30740393626992,33.692596063730086
24,subject,subject.History.Pre_1900_Military,59.57446808510638,40.42553191489361
25,subject.Geography,subject,70.32355070446066,29.676449295539342
26,subject.Geography,subject.History,68.53295535081503,31.467044649184977
27,subject.Geography,subject.History.Pre_1900_Military,61.19402985074627,38.80597014925373
28,subject.Geography.African_Geography,subject,72.03389830508475,27.966101694915253
29,subject.Geography.African_Geography,subject.History,65.5,34.5
30,subject.Geography.African_Geography,subject.History.Pre_1900_Military,35.714285714285715,64.28571428571429
31,subject.Geography.African_Geography.African_Countries,subject,70.16806722689076,29.831932773109244
32,subject.Geography.African_Geography.African_Countries,subject.History,67.0,33.0
33,subject.Geography.African_Geography.African_Countries,subject.History.Pre_1900_Military,37.5,62.5
34,subject,subject.Religion,75.31305903398928,24.686940966010734
35,subject,subject.Religion.Religious_disputes,74.31192660550458,25.688073394495415
36,subject.Geography,subject.Religion,73.17073170731707,26.82926829268293
37,subject.Geography,subject.Religion.Religious_disputes,68.18181818181817,31.818181818181817
38,subject.Geography.African_Geography,subject.Religion,80.0,20.0
39,subject.Geography.African_Geography,subject.Religion.Religious_disputes,54.54545454545454,45.45454545454545
40,subject.Geography.African_Geography.African_Countries,subject.Religion,86.11111111111111,13.88888888888889
41,subject.Geography.African_Geography.African_Countries,subject.Religion.Religious_disputes,33.33333333333333,66.66666666666666
