0,A0001,A0531
1,A0001,A0975
2,A0001,A1116
3,A0001,A1773
4,A0001,A2150
5,A0001,A2174
6,A0001,A2816
7,A0001,A3099
8,A0001,A3249
9,A0001,A3655
10,A0001,A4397
11,A0002,A0039
12,A0002,A0449
13,A0002,A1075
14,A0002,A1102
15,A0002,A1433
16,A0002,A1440
17,A0002,A1511
18,A0002,A2432
19,A0002,A2506
20,A0002,A2930
21,A0002,A3165
22,A0002,A3289
23,A0002,A3568
24,A0002,A3902
25,A0002,A3969
26,A0002,A4149
27,A0002,A4181
28,A0002,A4294
29,A0002,A4543
30,A0003,A0099
31,A0003,A0536
32,A0003,A0934
33,A0003,A1200
34,A0003,A1306
35,A0003,A1569
36,A0003,A1577
37,A0003,A1695
38,A0003,A2096
39,A0003,A2184
40,A0003,A2410
41,A0003,A2956
42,A0003,A3136
43,A0003,A3160
44,A0003,A3238
45,A0003,A3437
46,A0003,A3465
47,A0003,A3969
48,A0003,A4307
49,A0003,A4418
50,A0004,A0769
51,A0004,A1390
52,A0004,A1683
53,A0004,A2150
54,A0004,A3018
55,A0004,A3112
56,A0004,A3471
57,A0004,A4294
58,A0005,A1116
59,A0005,A1265
60,A0005,A1386
61,A0005,A1773
62,A0005,A2150
63,A0005,A2485
64,A0005,A2733
65,A0005,A3655
66,A0005,A4365
67,A0005,A4574
68,A0006,A0374
69,A0006,A0378
70,A0006,A0401
71,A0006,A0545
72,A0006,A0564
73,A0006,A0713
74,A0006,A0829
75,A0006,A0847
76,A0006,A0911
77,A0006,A0967
78,A0006,A0979
79,A0006,A1246
80,A0006,A1440
81,A0006,A1511
82,A0006,A1569
83,A0006,A1627
84,A0006,A1695
85,A0006,A1794
86,A0006,A1851
87,A0006,A1864
88,A0006,A1920
89,A0006,A1945
90,A0006,A2150
91,A0006,A2184
92,A0006,A2574
93,A0006,A2613
94,A0006,A2765
95,A0006,A2813
96,A0006,A2877
97,A0006,A2956
98,A0006,A3033
99,A0006,A3037
100,A0006,A3314
101,A0006,A3323
102,A0006,A3489
103,A0006,A3615
104,A0006,A3623
105,A0006,A3816
106,A0006,A3830
107,A0006,A3925
108,A0006,A4255
109,A0006,A4294
110,A0006,A4297
111,A0006,A4298
112,A0006,A4345
113,A0006,A4466
114,A0006,A4592
115,A0007,A0008
116,A0007,A0063
117,A0007,A0188
118,A0007,A0536
119,A0007,A0607
120,A0007,A0735
121,A0007,A1140
122,A0007,A1256
123,A0007,A1569
124,A0007,A1695
125,A0007,A1780
126,A0007,A2099
127,A0007,A2184
128,A0007,A2338
129,A0007,A2485
130,A0007,A2705
131,A0007,A2748
132,A0007,A2816
133,A0007,A2902
134,A0007,A3224
135,A0007,A3286
136,A0007,A3655
137,A0007,A3792
138,A0007,A3969
139,A0007,A4148
140,A0007,A4365
141,A0008,A0007
142,A0008,A0009
143,A0008,A0010
144,A0008,A0011
145,A0008,A0013
146,A0008,A0016
147,A0008,A0018
148,A0008,A0020
149,A0008,A0025
150,A0008,A0027
151,A0008,A0028
152,A0008,A0039
153,A0008,A0040
154,A0008,A0041
155,A0008,A0043
156,A0008,A0051
157,A0008,A0057
