0,A0011,A0020,A0144,,
1,A0011,A0020,A0144,,
2,A0011,A0020,A0144,,
3,A0011,A2891,A1794,,
4,A0011,A4418,A2267,,
5,A0011,A4418,A2267,,
6,A0011,A0908,A1512,,
7,A0011,A3211,A3426,,
8,A0011,A3211,A3426,,
9,A0011,A3211,A3426,,
10,A0011,A3211,A3426,,
11,A0011,A3211,A3426,,
12,A0011,A3211,A3426,,
13,A0011,A3211,A3426,,
14,A0011,A3211,A3426,,
15,A0011,A3211,A3426,,
16,A0011,A3211,A3426,,
17,A0011,A3211,A3426,,
18,A0011,A3211,A3426,,
19,A0011,A3211,A3426,,
20,A0011,A3211,A3426,,
21,A0011,A3211,A3426,,
22,A0011,A3211,A3426,,
23,A0011,A3211,A3426,,
24,A0011,A3211,A3426,,
25,A0011,A3211,A3426,,
26,A0011,A3211,A3426,,
27,A0011,A3211,A3426,,
28,A0011,A3211,A3426,,
29,A0011,A3211,A3426,,
30,A0011,A3211,A3426,,
31,A0011,A3211,A3426,,
32,A0011,A3211,A3426,,
33,A0011,A3211,A3426,,
34,A0011,A1434,A3781,,
35,A0011,A1434,A3781,,
36,A0011,A3312,A1368,,
37,A0011,A3312,A1368,,
38,A0011,A3312,A1368,,
39,A0011,A3312,A1368,,
40,A0011,A3312,A1368,,
41,A0011,A3312,A2029,A1897,
42,A0032,A2057,A0040,A0348,
43,A0032,A2057,A4307,A0915,
44,A0032,A2057,A4307,A0915,
45,A0032,A2057,A3050,A0382,
46,A0032,A2057,A3050,A0382,
47,A0032,A2057,A1778,A2080,
48,A0032,A2057,A1778,A2080,
49,A0032,A2057,A1778,A2080,
50,A0032,A1808,A0061,,
51,A0032,A4298,A0719,,
52,A0032,A4298,A0980,A1789,
53,A0032,A2057,A1985,A2214,
54,A0032,A2057,A1985,A2214,
55,A0034,A3830,,,
56,A0034,A1434,A2233,,
57,A0034,A1434,A2233,,
58,A0034,A1434,A2233,,
59,A0034,A1434,A2233,,
60,A0034,A1434,A2233,,
61,A0034,A3830,A2465,,
62,A0034,A3830,A2465,,
63,A0034,A4276,A3969,,
64,A0034,A4307,A0729,,
65,A0034,A1819,A3931,A2068,
66,A0034,A2974,A2127,,
67,A0034,A3830,A2488,,
68,A0034,A3830,A4501,,
69,A0034,A3830,A4501,,
70,A0034,A3830,A4501,,
71,A0090,A2956,A1330,,
72,A0090,A1673,A4336,A4337,
73,A0090,A1673,A4336,A4337,
74,A0090,A2762,A0686,,
75,A0090,A3594,A0185,,
76,A0090,A0925,A3122,,
77,A0090,A2762,A3160,A3404,
78,A0090,A1673,A1278,A3836,
79,A0104,A2309,A0895,A1246,
80,A0104,A3276,A1386,A1360,
81,A0104,A3839,A2067,,
82,A0104,A3839,A2067,,
